date	weekday	holiday
2018/10/11	5	no
2018/10/12	6	no
2018/10/13	7	no
2018/10/14	1	no
2018/10/15	2	no
2018/10/16	3	no
2018/10/17	4	no
2018/10/18	5	no
2018/10/19	6	no
2018/10/20	7	no
2018/10/21	1	no
2018/10/22	2	no
2018/10/23	3	no
2018/10/24	4	no
2018/10/25	5	no
2018/10/26	6	no
2018/10/27	7	no
2018/10/28	1	no
2018/10/29	2	no
2018/10/30	3	no
2018/10/31	4	no
2018/11/1	5	no
2018/11/2	6	no
2018/11/3	7	no
2018/11/4	1	no
2018/11/5	2	no
2018/11/6	3	no
2018/11/7	4	no
2018/11/8	5	no
2018/11/9	6	no
2018/11/10	7	no
2018/11/11	1	no
2018/11/12	2	no
2018/11/13	3	no
2018/11/14	4	no
2018/11/15	5	no
2018/11/16	6	no
2018/11/17	7	no
2018/11/18	1	no
2018/11/19	2	no
2018/11/20	3	no
2018/11/21	4	no
2018/11/22	5	no
2018/11/23	6	no
2018/11/24	7	no
2018/11/25	1	no
2018/11/26	2	no
2018/11/27	3	no
2018/11/28	4	no
2018/11/29	5	no
2018/11/30	6	no
2018/12/1	7	no
2018/12/2	1	no
2018/12/3	2	no
2018/12/4	3	no
2018/12/5	4	no
2018/12/6	5	no
2018/12/7	6	no
2018/12/8	7	no
2018/12/9	1	no
2018/12/10	2	no
2018/12/11	3	no
2018/12/12	4	no
2018/12/13	5	no
2018/12/14	6	no
2018/12/15	7	no
2018/12/16	1	no
2018/12/17	2	no
2018/12/18	3	no
2018/12/19	4	no
2018/12/20	5	no
2018/12/21	6	no
2018/12/22	7	no
2018/12/23	1	no
2018/12/24	2	no
2018/12/25	3	no
2018/12/26	4	no
2018/12/27	5	no
2018/12/28	6	no
2018/12/29	7	no
2018/12/30	1	no
2018/12/31	2	no
2019/1/1	3	yuandan
2019/1/2	4	no
2019/1/3	5	no
2019/1/4	6	no
2019/1/5	7	no
2019/1/6	1	no
2019/1/7	2	no
2019/1/8	3	no
2019/1/9	4	no
2019/1/10	5	no
2019/1/11	6	no
2019/1/12	7	no
2019/1/13	1	no
2019/1/14	2	no
2019/1/15	3	no
2019/1/16	4	no
2019/1/17	5	no
2019/1/18	6	no
2019/1/19	7	no
2019/1/20	1	no
2019/1/21	2	no
2019/1/22	3	no
2019/1/23	4	no
2019/1/24	5	no
2019/1/25	6	no
2019/1/26	7	no
2019/1/27	1	no
2019/1/28	2	no
2019/1/29	3	no
2019/1/30	4	no
2019/1/31	5	no
2019/2/1	6	no
2019/2/2	7	no
2019/2/3	1	no
2019/2/4	2	chun
2019/2/5	3	chun
2019/2/6	4	chun
2019/2/7	5	chun
2019/2/8	6	chun
2019/2/9	7	chun
2019/2/10	1	chun
2019/2/11	2	no
2019/2/12	3	no
2019/2/13	4	no
2019/2/14	5	no
2019/2/15	6	no
2019/2/16	7	no
2019/2/17	1	no
2019/2/18	2	no
2019/2/19	3	no
2019/2/20	4	no
2019/2/21	5	no
2019/2/22	6	no
2019/2/23	7	no
2019/2/24	1	no
2019/2/25	2	no
2019/2/26	3	no
2019/2/27	4	no
2019/2/28	5	no
2019/3/1	6	no
2019/3/2	7	no
2019/3/3	1	no
2019/3/4	2	no
2019/3/5	3	no
2019/3/6	4	no
2019/3/7	5	no
2019/3/8	6	no
2019/3/9	7	no
2019/3/10	1	no
2019/3/11	2	no
2019/3/12	3	no
2019/3/13	4	no
2019/3/14	5	no
